Tokenizer,Vectorstore,Reranker,Mode,Avg Precision@10,Avg Recall@10,Avg F1-Score@10,Avg MRR@10,Hit Rate@10,Avg NDCG@10
bge reranker,halong,bge reranker,bm25,0.4396,0.6195,0.4473,0.8969,0.9672,0.8785
bge reranker,halong,bge reranker,semantic,0.3026,0.4005,0.2998,0.8108,0.8689,0.683
bge reranker,halong,bge reranker,hybrid,0.4516,0.6387,0.4586,0.9139,0.9672,0.9452
bge reranker,text-small,bge reranker,bm25,0.4396,0.6195,0.4473,0.8969,0.9672,0.8785
bge reranker,text-small,bge reranker,semantic,0.2775,0.3847,0.2791,0.7075,0.8197,0.6062
bge reranker,text-small,bge reranker,hybrid,0.4416,0.6331,0.4492,0.9003,0.9672,0.923
bge reranker,text-large,bge reranker,bm25,0.4396,0.6195,0.4473,0.8969,0.9672,0.8785
bge reranker,text-large,bge reranker,semantic,0.264,0.3601,0.2598,0.6773,0.7869,0.6317
bge reranker,text-large,bge reranker,hybrid,0.4339,0.6215,0.4428,0.9049,0.9672,0.9314
bge reranker,halong,phoranker,bm25,0.4396,0.6195,0.4473,0.8267,0.9672,0.8425
bge reranker,halong,phoranker,semantic,0.3026,0.4005,0.2998,0.7459,0.8689,0.6487
bge reranker,halong,phoranker,hybrid,0.3941,0.5724,0.3994,0.8043,0.9672,0.8126
bge reranker,text-small,phoranker,bm25,0.4396,0.6195,0.4473,0.8267,0.9672,0.8425
bge reranker,text-small,phoranker,semantic,0.2775,0.3847,0.2791,0.6443,0.8197,0.5679
bge reranker,text-small,phoranker,hybrid,0.3995,0.5796,0.4021,0.8096,0.9672,0.7965
bge reranker,text-large,phoranker,bm25,0.4396,0.6195,0.4473,0.8267,0.9672,0.8425
bge reranker,text-large,phoranker,semantic,0.2646,0.3601,0.2606,0.6164,0.7869,0.5924
bge reranker,text-large,phoranker,hybrid,0.3979,0.5844,0.404,0.7814,0.9672,0.8045
PhoRanker,halong,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
PhoRanker,halong,bge reranker,semantic,0.3038,0.4054,0.3022,0.8108,0.8689,0.6846
PhoRanker,halong,bge reranker,hybrid,0.4474,0.6344,0.4538,0.9139,0.9672,0.9424
PhoRanker,text-small,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
PhoRanker,text-small,bge reranker,semantic,0.2797,0.3838,0.279,0.7239,0.8361,0.611
PhoRanker,text-small,bge reranker,hybrid,0.4395,0.629,0.446,0.9003,0.9672,0.9203
PhoRanker,text-large,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
PhoRanker,text-large,bge reranker,semantic,0.2645,0.3606,0.2604,0.6773,0.7869,0.6314
PhoRanker,text-large,bge reranker,hybrid,0.4299,0.6171,0.4384,0.8926,0.9672,0.9261
PhoRanker,halong,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
PhoRanker,halong,phoranker,semantic,0.3038,0.4054,0.3022,0.7459,0.8689,0.6489
PhoRanker,halong,phoranker,hybrid,0.3933,0.5691,0.3975,0.8043,0.9672,0.8082
PhoRanker,text-small,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
PhoRanker,text-small,phoranker,semantic,0.2797,0.3838,0.279,0.6611,0.8361,0.5731
PhoRanker,text-small,phoranker,hybrid,0.3986,0.5747,0.399,0.8099,0.9672,0.7958
PhoRanker,text-large,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
PhoRanker,text-large,phoranker,semantic,0.2625,0.3589,0.2585,0.6137,0.7869,0.5897
PhoRanker,text-large,phoranker,hybrid,0.3955,0.5825,0.4024,0.779,0.9672,0.7998
visobert,halong,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
visobert,halong,bge reranker,semantic,0.3038,0.4054,0.3022,0.8108,0.8689,0.6846
visobert,halong,bge reranker,hybrid,0.4474,0.6344,0.4538,0.9139,0.9672,0.9424
visobert,text-small,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
visobert,text-small,bge reranker,semantic,0.2803,0.3854,0.2803,0.7239,0.8361,0.611
visobert,text-small,bge reranker,hybrid,0.4397,0.629,0.4463,0.9003,0.9672,0.9203
visobert,text-large,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
visobert,text-large,bge reranker,semantic,0.2624,0.3606,0.2596,0.6773,0.7869,0.6303
visobert,text-large,bge reranker,hybrid,0.4308,0.6171,0.4391,0.8926,0.9672,0.9261
visobert,halong,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
visobert,halong,phoranker,semantic,0.3038,0.4054,0.3022,0.7459,0.8689,0.6489
visobert,halong,phoranker,hybrid,0.3933,0.5691,0.3975,0.8043,0.9672,0.8082
visobert,text-small,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
visobert,text-small,phoranker,semantic,0.2803,0.3854,0.2803,0.6611,0.8361,0.5731
visobert,text-small,phoranker,hybrid,0.3988,0.5747,0.3993,0.8099,0.9672,0.7958
visobert,text-large,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
visobert,text-large,phoranker,semantic,0.2644,0.3622,0.2614,0.6219,0.8033,0.5915
visobert,text-large,phoranker,hybrid,0.3934,0.5808,0.4008,0.779,0.9672,0.7981